latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-23.72173,21.85299,311.56,1.05,1.03,2023-10-07,20,Aqua,MODIS,75,6.1NRT,291.36,12.04,N
-23.71828,21.89548,309.14,1.06,1.03,2023-10-07,20,Aqua,MODIS,57,6.1NRT,288.74,10.12,N
-23.71684,21.88521,308.92,1.06,1.03,2023-10-07,20,Aqua,MODIS,30,6.1NRT,289.48,9.19,N
-23.70338,21.85592,304.04,1.05,1.03,2023-10-07,20,Aqua,MODIS,12,6.1NRT,289.29,6.42,N
-23.54191,26.63714,302,1.98,1.37,2023-10-07,20,Aqua,MODIS,34,6.1NRT,289.67,15.62,N
-22.85504,24.05953,336.35,1.3,1.13,2023-10-07,20,Aqua,MODIS,100,6.1NRT,297.29,56.2,N
-22.85347,24.04697,306.9,1.3,1.13,2023-10-07,20,Aqua,MODIS,70,6.1NRT,290.95,12.2,N
-22.84958,24.0988,306.06,1.31,1.13,2023-10-07,20,Aqua,MODIS,27,6.1NRT,290.77,10.28,N
-22.84802,24.08617,306.21,1.31,1.13,2023-10-07,20,Aqua,MODIS,15,6.1NRT,291.14,9.82,N
-22.84646,24.07357,328.25,1.3,1.13,2023-10-07,20,Aqua,MODIS,100,6.1NRT,294.42,38.49,N
-22.8449,24.06098,313.27,1.3,1.13,2023-10-07,20,Aqua,MODIS,26,6.1NRT,293.33,17.2,N
-22.07931,22.54974,310.31,1.08,1.04,2023-10-07,20,Aqua,MODIS,80,6.1NRT,292.38,12.18,N
-22.0779,22.53937,313.98,1.08,1.04,2023-10-07,20,Aqua,MODIS,88,6.1NRT,292.18,15.56,N
-22.07287,22.5469,332.04,1.08,1.04,2023-10-07,20,Aqua,MODIS,100,6.1NRT,294.55,35.77,N
-22.07143,22.53654,313.66,1.08,1.04,2023-10-07,20,Aqua,MODIS,87,6.1NRT,292.1,13.84,N
-22.06359,22.54833,318.37,1.08,1.04,2023-10-07,20,Aqua,MODIS,97,6.1NRT,292.11,18.53,N
-22.05431,22.54977,314.04,1.08,1.04,2023-10-07,20,Aqua,MODIS,75,6.1NRT,291.86,13.97,N
-22.05002,22.51872,311.16,1.08,1.04,2023-10-07,20,Aqua,MODIS,60,6.1NRT,290.42,11.96,N
-22.04076,22.52015,308.68,1.08,1.04,2023-10-07,20,Aqua,MODIS,61,6.1NRT,288.9,10.66,N
-22.03149,22.38512,303.61,1.07,1.03,2023-10-07,20,Aqua,MODIS,12,6.1NRT,290.08,6.2,N
-22.00934,22.5673,324.21,1.08,1.04,2023-10-07,20,Aqua,MODIS,100,6.1NRT,292.05,25.21,N
-22.00793,22.55693,306.76,1.08,1.04,2023-10-07,20,Aqua,MODIS,23,6.1NRT,288.21,9.06,N
-22.00147,22.57911,332.23,1.08,1.04,2023-10-07,20,Aqua,MODIS,100,6.1NRT,292.23,35.76,N
-22.00006,22.56873,312.55,1.08,1.04,2023-10-07,20,Aqua,MODIS,27,6.1NRT,289.85,12.64,N
-21.99219,22.58054,317.04,1.08,1.04,2023-10-07,20,Aqua,MODIS,66,6.1NRT,292.42,17.24,N
-21.986,22.58717,312.3,1.08,1.04,2023-10-07,20,Aqua,MODIS,82,6.1NRT,293.58,13.35,N
-21.97671,22.5886,310.18,1.08,1.04,2023-10-07,20,Aqua,MODIS,54,6.1NRT,293.34,11.42,N
-21.96743,22.59003,328.57,1.08,1.04,2023-10-07,20,Aqua,MODIS,100,6.1NRT,293.98,31.04,N
-21.966,22.57967,312.93,1.08,1.04,2023-10-07,20,Aqua,MODIS,76,6.1NRT,290.11,13.67,N
-21.95814,22.59147,303.82,1.08,1.04,2023-10-07,20,Aqua,MODIS,20,6.1NRT,291.13,7.05,N
-21.94886,22.5929,305.2,1.08,1.04,2023-10-07,20,Aqua,MODIS,16,6.1NRT,290.24,7.75,N
-21.9196,22.58683,310.89,1.08,1.04,2023-10-07,20,Aqua,MODIS,43,6.1NRT,290.6,11.87,N
-21.91032,22.58827,304.47,1.08,1.04,2023-10-07,20,Aqua,MODIS,33,6.1NRT,289.52,7.94,N
-16.26382,-39.46676,301.27,2.58,1.54,2023-10-07,20,Terra,MODIS,39,6.1NRT,291.19,15.07,N
-16.26129,-39.44312,313.79,2.57,1.54,2023-10-07,20,Terra,MODIS,88,6.1NRT,291.5,47.94,N
-10.58281,-36.893,305.99,1.37,1.16,2023-10-07,20,Terra,MODIS,66,6.1NRT,292.7,9.9,N
-10.5812,-36.88062,310.62,1.37,1.16,2023-10-07,20,Terra,MODIS,80,6.1NRT,291.82,15.34,N
-9.73676,-43.67368,311.37,4.47,1.94,2023-10-07,20,Terra,MODIS,79,6.1NRT,294.11,77.2,N
-9.73481,-43.68089,312.2,4.47,1.94,2023-10-07,20,Terra,MODIS,82,6.1NRT,294.46,83.94,N
-9.58768,-35.90991,305.58,1.17,1.08,2023-10-07,20,Terra,MODIS,65,6.1NRT,289.44,8.4,N
